iter	Passed	Remaining
557	56437	44704
558	56665	44704
559	56748	44588
560	56841	44479
561	56925	44365
562	57022	44260
563	57128	44163
564	57221	44055
565	57308	43943
566	57410	43842
567	57507	43738
568	57605	43634
569	57700	43528
570	57792	43420
571	57881	43310
572	57971	43200
573	58063	43092
574	58147	42978
575	58233	42866
576	58328	42760
577	58421	42653
578	58526	42555
579	58614	42444
580	58722	42348
581	58815	42241
582	58945	42162
583	59029	42048
584	59118	41938
585	59211	41832
586	59298	41720
587	59396	41617
588	59492	41513
589	59601	41418
590	59713	41324
591	59812	41222
592	59912	41120
593	60022	41025
594	60111	40916
595	60208	40812
596	60303	40707
597	60384	40592
598	60481	40489
599	60584	40389
600	60698	40297
601	60798	40195
602	60885	40085
603	60971	39974
604	61073	39874
605	61168	39769
606	61272	39670
607	61369	39567
608	61458	39458
609	61566	39362
610	61665	39260
611	61750	39149
612	61855	39050
613	61951	38946
614	62049	38844
615	62143	38738
616	62246	38638
617	62330	38528
618	62418	38419
619	62526	38322
620	62611	38212
621	62714	38112
622	62810	38008
623	62910	37907
624	63023	37813
625	63114	37707
626	63210	37603
627	63304	37498
628	63392	37390
629	63541	37317
630	63630	37210
631	63716	37100
632	63811	36996
633	63914	36896
634	64032	36806
635	64116	36695
636	64198	36584
637	64289	36477
638	64396	36380
639	64497	36279
640	64592	36175
641	64698	36077
642	64797	35975
643	64899	35876
644	65008	35779
645	65109	35679
646	65203	35574
647	65312	35478
648	65419	35381
649	65514	35277
650	65612	35174
651	65702	35068
652	65802	34966
653	65945	34888
654	66083	34807
655	66192	34710
656	66291	34609
657	66398	34511
658	66516	34419
659	66617	34318
660	66731	34223
661	66850	34132
662	66961	34036
663	67061	33934
664	67161	33833
665	67257	33729
666	67350	33624
667	67458	33527
668	67550	33421
669	67659	33324
670	67749	33218
671	67850	33117
672	67942	33012
673	68046	32912
674	68153	32814
675	68252	32712
676	68355	32612
677	68444	32506
678	68552	32408
679	68649	32305
680	68753	32206
681	68839	32098
682	68932	31993
683	69021	31887
684	69123	31786
685	69225	31686
686	69330	31587
687	69446	31493
688	69539	31388
689	69623	31280
690	69718	31176
691	69827	31079
692	69934	30980
693	70039	30882
694	70138	30780
695	70229	30675
696	70335	30576
697	70455	30483
698	70547	30378
699	70647	30277
700	70731	30169
701	70816	30061
702	70913	29959
703	71000	29852
704	71091	29747
705	71181	29642
706	71284	29542
707	71373	29436
708	71472	29334
709	71608	29248
710	71740	29160
711	71848	29062
712	71956	28964
713	72039	28856
714	72135	28753
715	72246	28656
716	72355	28558
717	72468	28462
718	72564	28359
719	72654	28254
720	72762	28156
721	72848	28049
722	72938	27944
723	73047	27846
724	73169	27753
725	73253	27646
726	73339	27540
727	73442	27440
728	73541	27338
729	73650	27240
730	73738	27134
731	73835	27032
732	73956	26939
733	74055	26837
734	74147	26733
735	74254	26634
736	74350	26531
737	74452	26431
738	74543	26327
739	74640	26225
740	74729	26120
741	74835	26021
742	74927	25916
743	75016	25812
744	75124	25713
745	75219	25610
746	75308	25506
747	75440	25415
748	75550	25317
749	75637	25212
750	75715	25104
751	75812	25001
752	75919	24903
753	76024	24803
754	76114	24699
755	76210	24597
756	76308	24495
757	76415	24396
758	76506	24292
759	76592	24187
760	76678	24081
761	76775	23979
762	76874	23878
763	76972	23776
764	77063	23673
765	77145	23566
766	77259	23469
767	77353	23367
768	77637	23321
769	77719	23214
770	77812	23111
771	77908	23009
772	78004	22906
773	78094	22802
774	78205	22704
775	78314	22606
776	78396	22499
777	78495	22398
778	78577	22292
779	78677	22191
780	78799	22096
781	78915	21999
782	78991	21891
783	79077	21786
784	79181	21686
785	79261	21579
786	79345	21474
787	79443	21373
788	79545	21272
789	79653	21173
790	79759	21074
791	79872	20976
792	79994	20881
793	80116	20785
794	80230	20688
795	80329	20587
796	80431	20486
797	80530	20384
798	80688	20298
799	80820	20205
800	80944	20109
801	81045	20008
802	81142	19906
803	81246	19806
804	81344	19704
805	81467	19608
806	81592	19513
807	81698	19413
808	81800	19312
809	81908	19213
810	82020	19114
811	82117	19012
812	82203	18907
813	82312	18808
814	82434	18712
815	82531	18610
816	82626	18507
817	82718	18404
818	82814	18302
819	82898	18197
820	83003	18097
821	83108	17996
822	83223	17898
823	83319	17796
824	83404	17691
825	83496	17588
826	83594	17487
827	83706	17388
828	83800	17285
829	83894	17183
830	83999	17082
831	84105	16982
832	84216	16883
833	84318	16782
834	84420	16681
835	84510	16578
836	84606	16476
837	84686	16371
838	84778	16268
839	84876	16166
840	84967	16063
841	85050	15959
842	85137	15855
843	85224	15752
844	85307	15648
845	85410	15547
846	85494	15443
847	85602	15343
848	85690	15240
849	85788	15139
850	85886	15037
851	85991	14937
852	86077	14833
853	86165	14730
854	86260	14628
855	86364	14528
856	86464	14427
857	86561	14325
858	86659	14224
859	86753	14122
860	86840	14019
861	86931	13917
862	87041	13817
863	87134	13715
864	87230	13613
865	87326	13512
866	87417	13410
867	87511	13308
868	87602	13205
869	87710	13106
870	87797	13003
871	87894	12901
872	87977	12798
873	88068	12696
874	88162	12594
875	88258	12493
876	88389	12396
877	88472	12293
878	88578	12193
879	88669	12091
880	88758	11989
881	88852	11887
882	88940	11784
883	89034	11683
884	89132	11582
885	89234	11481
886	89326	11379
887	89408	11276
888	89512	11176
889	89597	11073
890	89694	10972
891	89793	10871
892	89885	10770
893	89972	10667
894	90064	10566
895	90157	10464
896	90260	10364
897	90362	10263
898	90446	10161
899	90536	10059
900	90656	9961
901	90747	9859
902	90847	9758
903	90972	9660
904	91058	9558
905	91152	9457
906	91240	9355
907	91331	9253
908	91425	9152
909	91528	9052
910	91613	8950
911	91694	8847
912	91801	8747
913	91906	8647
914	92045	8550
915	92159	8451
916	92243	8349
917	92328	8247
918	92422	8146
919	92523	8045
920	92657	7947
921	92789	7849
922	92916	7751
923	92999	7649
924	93097	7548
925	93198	7447
926	93301	7347
927	93386	7245
928	93475	7143
929	93564	7042
930	93675	6942
931	93758	6840
932	93847	6739
933	93952	6639
934	94040	6537
935	94152	6437
936	94235	6336
937	94350	6236
938	94430	6134
939	94519	6033
940	94604	5931
941	94689	5830
942	94787	5729
943	94877	5628
944	95006	5529
945	95110	5429
946	95205	5328
947	95302	5227
948	95411	5127
949	95530	5027
950	95618	4926
951	95710	4825
952	95813	4725
953	95910	4624
954	96032	4525
955	96143	4425
956	96252	4324
957	96366	4224
958	96464	4124
959	96561	4023
960	96677	3923
961	96809	3824
962	96933	3724
963	97041	3623
964	97127	3522
965	97255	3423
966	97421	3324
967	97569	3225
968	97754	3127
969	97937	3028
970	98074	2929
971	98189	2828
972	98339	2728
973	98494	2629
974	98608	2528
975	98735	2427
976	98861	2327
977	98975	2226
978	99065	2125
979	99183	2024
980	99290	1923
981	99392	1821
982	99515	1721
983	99636	1620
984	99748	1519
985	99845	1417
986	99936	1316
987	100054	1215
988	100153	1113
989	100247	1012
990	100347	911
991	100440	810
992	100537	708
993	100627	607
994	100726	506
995	100821	404
996	100907	303
997	101006	202
998	101118	101
999	101215	0
